# ÜRETİLMİŞ DOSYA -- elle düzenlemeyin. Üretim:
#   ./sbt.sh "runMain net.kogics.kojo.lite.i18n.tr.SözlükÜreteci"
# Kaynak: lite/i18n/trInit.scala + lite/i18n/tr/*.scala sarmalayıcıları.
# Elle kararlar için: ceviri-kurallar.tsv
#
# cins	tr	en	kaynak	sayı	[not]
#   kaynak: DOSYA adı (satır numarası bilerek yok -- ilgisiz kaymalar sözlüğü kirletmesin)
#   sayı  : o dosyada bu çifti veren tanım sayısı; sıklık tablosunun tartısı
#   not   : üye = İngilizce ad yalın çözülmüyor, yalnız x.ad biçiminde; takma = takma ad alıcısı
val	Görünüş.araba	Costume.car	cizim.scala	1
val	Görünüş.araba1	"/media/car-ride/car1.png"	cizim.scala	1
val	Görünüş.araba2	"/media/car-ride/car2.png"	cizim.scala	1
val	Görünüş.baklava	"/images/field.png"	cizim.scala	1
val	Görünüş.bayrak1	"/images/generic-flag.png"	cizim.scala	1
val	Görünüş.daire	"/images/kindmethod.png"	cizim.scala	1
val	Görünüş.demiryolu	"/media/backgrounds/train-tracks3.gif"	cizim.scala	1
val	Görünüş.demiryolu	Background.trainTrack	TurtleWorldAPI.scala	1
val	Görünüş.demiryolu	Background.trainTrack	cizim.scala	1
val	Görünüş.elSallayanKadın	"/media/costumes/womanwaving.png"	cizim.scala	1
val	Görünüş.elSallayanKadın	Costume.womanWaving	cizim.scala	1
val	Görünüş.kadınElSallarken	"/media/costumes/womanwaving.png"	cizim.scala	1
val	Görünüş.kadınElSallarken	Costume.womanWaving	TurtleWorldAPI.scala	1
val	Görünüş.kadınElSallarken	Costume.womanWaving	cizim.scala	1
val	Görünüş.kalem	"/media/costumes/pencil.png"	cizim.scala	1
val	Görünüş.kalem	Costume.pencil	TurtleWorldAPI.scala	1
val	Görünüş.kalem	Costume.pencil	cizim.scala	1
val	Görünüş.kare	"/images/kindvar.png"	cizim.scala	1
val	Görünüş.scala	"/images/scala16x16.png"	cizim.scala	1
val	Görünüş.top1	"/media/collidium/ball1.png"	cizim.scala	1
val	Görünüş.top2	"/media/collidium/ball2.png"	cizim.scala	1
val	Görünüş.top3	"/media/collidium/ball3.png"	cizim.scala	1
val	Görünüş.top4	"/media/collidium/ball4.png"	cizim.scala	1
val	Görünüş.topKanatlı1	"/media/flappy-ball/ballwing1.png"	cizim.scala	1
val	Görünüş.topKanatlı2	"/media/flappy-ball/ballwing2.png"	cizim.scala	1
val	Görünüş.tuğla	"/media/collidium/bwall.png"	cizim.scala	1
val	Görünüş.yarasa1	"/media/costumes/bat1-a.png"	cizim.scala	1
val	Görünüş.yarasa1	Costume.bat1	cizim.scala	1
val	Görünüş.yarasa1a	"/media/costumes/bat1-a.png"	cizim.scala	1
val	Görünüş.yarasa1a	Costume.bat1	TurtleWorldAPI.scala	1
val	Görünüş.yarasa1a	Costume.bat1	cizim.scala	1
val	Görünüş.yarasa1b	"/media/costumes/bat1-b.png"	cizim.scala	1
val	Görünüş.yarasa1b	Costume.bat2	TurtleWorldAPI.scala	1
val	Görünüş.yarasa1b	Costume.bat2	cizim.scala	1
val	Görünüş.yarasa2	"/media/costumes/bat1-b.png"	cizim.scala	1
val	Görünüş.yarasa2	Costume.bat2	cizim.scala	1
val	Görünüş.yıldız	"/images/star.png"	cizim.scala	1
val	Günler	List	buan.scala	1
type	Harf	Char	data.scala	1
type	Harf	Char	harf.scala	1
type	Harf	Char	yazi.scala	3
type	HarfDizisi	CharSequence	turler.scala	1
def	HarfDizisindenDizi	SeqCharSequence	harf.scala	1
type	HarfDizisindenDizi	SeqCharSequence	harf.scala	1
def	HarfDizisindenDizik	ArrayCharSequence	harf.scala	1
type	HarfDizisindenDizik	ArrayCharSequence	harf.scala	1
type	HarfDiziğiDizisi	ofChar	harf.scala	1	üye
def	HarftenHarfe	Character2char	harf.scala	1
type	HatalıSınıfDüzeni	ClassFormatError	turler.scala	1
type	Her	Any	data.scala	1
type	Her	Any	package.scala	1
